Name,CR,XP,Race,Class1,Class1_Lvl,Class2,Class2_Lvl,Alignment,Size,Type,subtype1,subtype2,subtype3,subtype4,subtype5,subtype6,AC,AC_Touch,AC_Flat-footed,HP,HD,Fort,Ref,Will,Melee,Ranged,Space,Reach,Str,Dex,Con,Int,Wis,Cha,Feats,Skills,RacialMods,Languages,SQ,Environment,Organization,Treasure,Group,Gear,OtherGear,CharacterFlag,CompanionFlag,Speed,Base_Speed,Fly_Speed,Maneuverability,Climb_Speed,Swim_Speed,Burrow_Speed,Speed_Special,Speed_Land,Fly,Climb,Burrow,Swim,VariantParent,ClassArchetypes,CompanionFamiliarLink,AlternateNameForm,id,UniqueMonster,MR,Mythic,MT,Source
Donkey Rat,0.25,100,,,,,,N,Small,animal,,,,,,,14,14,11,5,1d8+1,3,5,1,bite +0 (1d3-2),,5,5,6,17,13,2,13,4,Skill Focus (Perception),"Perception +4, Stealth +15, Swim +11",,,,temperate coast or forest,"solitary, pair, or nest (3-12)",none,Familiar,,,0,0,"30 ft., swim 20 ft.",30,,,,20,,,1,0,0,0,1,,,NULL,,1783,0,0,0,0,Ultimate Magic
Doombat Bat,4,"1,200",,,,,,NE,Large,magical beast,,,,,,,17,14,12,42,5d10+15,7,9,2,"bite +7 (2d6+3), tail lash +2 (1d6+1)",,10,5 (10 with tail),17,21,17,2,12,6,"Stealthy, Skill Focus (Perception, Stealth)","Escape Artist +7, Fly +11, Perception +14, Stealth +10",+4 Perception when using blindsense,,,underground,solitary or colony (2-5),none,Bat,,,0,0,"10 ft., fly 50 ft. (good)",10,,good,,,,,1,1,0,0,0,,,NULL,,2251,0,0,0,0,Tome of Horrors Complete
Doppelganger,3,800,,,,,,N,Medium,monstrous humanoid,shapechanger,,,,,,16,12,14,26,4d10+4,4,5,6,2 claws +8 (1d8+4),,5,5,18,13,12,13,14,13,"Dodge, Great Fortitude","Bluff +9 (+13 while using change shape ability), Diplomacy +4, Disguise +9 (+29 while using change shape ability), Perception +9, Sense Motive +6, Stealth +5","+4 Bluff, +4 Disguise",Common,"change shape (alter self ), perfect copy, mimicry",any,"solitary, pair, or gang (3-6)",NPC Gear,,,,0,1,30 ft.,30,,,,,,,1,0,0,0,0,,,NULL,,110,0,0,0,0,PFRPG Bestiary
Doru,2,600,,,,,,NE,Tiny,outsider,div,evil,extraplanar,,,,18,15,15,16,3d10,3,4,4,bite +9 (1d4-1 plus poison),,2/1/2002,0,8,17,10,10,12,14,"Weapon Finesse, Weapon Focus (bite)","Bluff +8, Fly +11, Knowledge (arcana) +6, Knowledge (planes) +6, Perception +7, Spellcraft +6, Stealth +17",,"Abyssal, Celestial, Infernal; telepathy 100 ft.",,any (Abaddon),solitary,none,Div,,,0,0,"20 ft., fly 40 ft. (perfect)",20,,perfect,,,,,1,1,0,0,0,,,NULL,,2030,0,0,0,0,PFRPG Bestiary 3
Dorvae,11,"12,800",,,,,,NE,Medium,outsider,evil,,,,,,24,16,18,123,13d10+52,8,13,10,2 claws +18 (3d8+4/19-20 plus grab),,5,5,18,21,18,17,14,17,"Agile Maneuvers, Dodge, Flyby Attack, Improved Critical (claw), Mobility, Skill Focus (Perception), Weapon Focus (claw)","Acrobatics +21, Bluff +19, Diplomacy +13, Fly +18, Intimidate +16, Knowledge (planes) +19, Knowledge (religion) +19, Perception +24, Sense Motive +18, Stealth +21",,"Abyssal, Celestial, Common, Infernal; telepathy 50 ft.",,any (evil planes),solitary,standard,,,,0,0,"30 ft., fly 60 ft. (good)",30,,,,,,,1,1,0,0,0,NULL,,NULL,,5180,0,0,0,0,PFRPG Bestiary 4
Dosojin,7,"3,200",,,,,,NG,Medium,outsider,kami,native,,,,,20,13,17,85,10d10+30,10,6,11,2 slams +13 (1d6+2),,5,5,15,17,16,12,14,17,"Alertness, Improved Initiative, Iron Will, Quicken Spell- Like Ability (invisibility), Weapon Focus (slam)","Bluff +16, Diplomacy +16, Disguise +16 (+36 as statue), Handle Animal +16, Knowledge (nature) +14, Perception +4, Sense Motive +19, Survival +15",,"Common; speak with plants, telepathy 100 ft.","merge with ward, ward (roads or trails)",any land,"solitary, mated pair, or cloister (3-10)",standard,Kami,,,0,0,30 ft.,30,,,,,,,1,0,0,0,0,,,NULL,,1932,0,0,0,0,AP 52
Dossenus,1,400,,,,,,N,Small,aberration,,,,,,,12,11,12,13,2d8+4,2,0,3,bite +4 (1d6+3/19-20),,5,5,12,11,14,3,10,5,"Improved CriticalB (bite), Weapon Focus (bite), Weapon SpecializationB (bite)","Climb +17, Perception +5",+8 Climb,Aklo,,any underground (except water),"solitary, clutch (2-9), or infestation (10-20)",incidental,,,,0,0,"30 ft., burrow 30 ft., climb 30 ft.",30,,,,,,,1,0,1,1,0,NULL,,NULL,,5181,0,0,0,0,PFRPG Bestiary 4
Dracohydra,10,"9,600",,,,,,N,Huge,magical beast,,,,,,,20,9,19,105,10d10+50,11,10,5,5 bites +14 (2d6+5/19-20),,15,10,21,12,19,6,11,12,"Combat Reflexes, Iron Will, Lightning Reflexes, Lunge, Toughness, Weapon Focus (bite)B","Intimidate +6, Perception +12, Swim +13",+4 Perception,"Common, Draconic","hydra traits, regenerate head",any,solitary,double standard,,,,0,0,"30 ft., swim 20 ft.",30,,,,,,,1,0,0,0,1,,,NULL,,4791,0,0,0,0,Tome of Horrors 4
Dracolisk,7,"3,200",Half-black dragon basilisk,,,,,N,Medium,dragon,,,,,,,21,9,21,73,7d10+35,12,4,5,"bite +14 (1d8+7), 2 claws +14 (1d4+7)",,5,5,24,8,21,4,13,13,"Blind-Fight, Great Fortitude, Iron Will, Skill Focus (Perception)","Fly +9, Perception +14, Stealth +13",+4 Stealth,,,temperate swamp or underground,solitary or pair,standard,Half-Dragon,,,0,0,"20 ft., fly 40 ft. (average)",20,40,average,,,,,1,1,0,0,0,,,NULL,,227,0,0,0,0,PFRPG Bestiary
Dracolisk,9,"6,400",,,,,,N,Large,dragon,,,,,,,24,11,22,115,11d12+44,11,9,8,"bite +16 (2d6+6), 2 claws +16 (1d6+6)",,10,5,23,14,19,6,12,13,"Alertness, Blind-Fight, Cleave, Improved Vital Strike, Power Attack, Vital Strike","Climb +14, Diplomacy +8, Fly +10, Intimidate +8, Perception +10, Sense Motive +10, Stealth +5, Survival +8, Swim +13",,Draconic,,see text,solitary or colony (3-6),none,,,,0,0,"30 ft., fly 60 ft. (poor)",30,,poor,,,,,1,1,0,0,0,,,NULL,,2523,0,0,0,0,Tome of Horrors Complete
Draconal,20,"307,200",,,,,,NG,Large,outsider,agathion,extraplanar,good,,,,36,18,33,324,24d10+192,22,16,17,"bite +36 (2d6+13 plus 1d6 energy), 2 claws +31 (1d8+6 plus 1d6 energy)",,10,10,36,15,27,24,24,23,"Alertness, Combat Casting, Dodge, Empower Spell, Greater Spell Penetration, Improved Initiative, Iron Will, Mobility, Power Attack, Quicken Spell, Skill Focus (Perception), Spell Penetration","Acrobatics +25, Bluff +29, Diplomacy +26, Escape Artist +22, Heal +27, Intimidate +29, Knowledge (arcana) +30, Knowledge (nature) +27, Knowledge (planes) +34, Knowledge (religion) +31, Perception +48, Sense Motive +34, Spellcraft +27, Stealth +21, Use Magic Device +26",+4 Perception,"Celestial, Draconic, Infernal; speak with animals, truespeech","celestial focus, divine insight, lay on hands (10d6, 16/day, as a 20th-level paladin)",any air (Nirvana),"solitary, pair, or flight (3-6)",double,Agathion,,,0,0,"40 ft., fly 120 ft. (average)",40,120,average,,,,,1,1,0,0,0,,,NULL,,1088,0,0,0,0,PFRPG Bestiary 2
Draconid,9,"6,400",,,,,,NE,Huge,aberration,,,,,,,23,10,21,142,15d8+60 plus 15,9,7,11,2 bites +17 (2d6+7 plus poison),,15,15,24,14,19,6,14,11,"Ability Focus (poison), Ability Focus (web), Alertness, Improved Initiative, Power Attack, Snatch, Toughness, Weapon Focus (bite)","Climb +20, Perception +23, Sense Motive +20",,"Aklo, Undercommon",,underground,solitary,"standard coins, double goods (gems only), standard items",,,,0,0,"40 ft., climb 20 ft.",40,,,,,,,1,0,1,0,0,,,NULL,,2524,0,0,0,0,Tome of Horrors Complete
Dragon Horse,7,"3,200",,,,,,NG,Large,magical beast,air,,,,,,21,13,18,76,8d10+32,10,9,8,2 hooves +14 (1d6+7),,10,5,24,17,19,16,18,20,"Flyby Attack, Improved Initiative, Iron Will, Power Attack","Fly +16, Knowledge (planes) +11, Perception +19, Sense Motive +12, Survival +12",+4 Perception,"Common, Draconic, Auran; telepathy 100 ft.",,any,solitary or family (2-3),none,,,,0,0,"60 ft., fly 120 ft. (good)",60,,good,,,,,1,1,0,0,0,,,NULL,,2538,0,0,0,0,Tome of Horrors Complete
Dragon Horse,9,"6,400",,,,,,NG,Large,magical beast,air,,,,,,23,13,19,105,10d10+50,12,10,9,2 hooves +16 (2d6+7 plus 1d6 electricity),,5,5,24,17,21,16,18,21,"Dodge, Flyby Attack, Improved Initiative, Iron Will, Mobility","Fly +18, Knowledge (planes) +13, Perception +17, Sense Motive +14, Survival +14",,"Auran, Common, Draconic; telepathy 100 ft.",shift planes,any,solitary,none,,,,0,0,"60 ft., fly 120 ft. (good)",60,120,,,,,,1,1,0,0,0,,,NULL,,1184,0,0,0,0,PFRPG Bestiary 2
Dragon Turtle,9,"6,400",,,,,,N,Huge,dragon,aquatic,,,,,,23,8,23,126,12d12+48,12,8,9,"bite +18 (3d6+8), 2 claws +18 (2d6+8)",,15,10,27,10,19,12,13,12,"Awesome Blow, Blind-Fight, Cleave, Improved Bull Rush, Improved Initiative, Power Attack","Diplomacy +16, Intimidate +16, Perception +16, Sense Motive +16, Stealth +7 (+15 in water), Survival +16, Swim +31",+8 Stealth in water,"Aquan, Common, Draconic",,temperate aquatic,solitary,double,,,,0,0,"20 ft., swim 30 ft.",20,,,,30,,,1,0,0,0,1,,,NULL,,143,0,0,0,0,PFRPG Bestiary
Dragonfish,1,400,,,,,,N,Small,animal,aquatic,,,,,,16,13,14,9,2d8,3,5,0,bite +2 (1d4),,5,5,10,15,11,2,11,4,Skill Focus (Perception),"Perception +7, Stealth +10, Swim +10",Dragonfish use their Dexterity modifier for Swim checks.,,,any aquatic,solitary,none,,,,0,0,swim 20 ft.,,,,,20,,,0,0,0,0,1,,,NULL,,3458,0,0,0,0,Tome of Horrors Complete
Dragonkin,9,"6,400",,,,,,LN,Large,dragon,,,,,,,23,11,21,115,10d12+50,12,9,8,"mwk glaive +16/+11 (2d8+9/3), bite +16 (1d8+6) or bite +16 (1d8+6), 2 claws +15 (1d6+6)",,10,10 (15 with glaive),22,15,20,11,12,17,"Combat Reflexes, Flyby Attack, Power Attack, Vital Strike, Weapon Focus (bite)","Bluff +16, Fly +17, Intimidate +16, Perception +14, Stealth +11, Survival +14",,"Common, Draconic",rider bond,any mountains,"solitary, pair, patrol (3-6), or wing (7-14)","standard (masterwork glaive, other treasure)",,,,0,0,"40 ft., fly 120 ft. (average)",40,,average,,,,,1,1,0,0,0,,,NULL,,2504,0,0,0,0,Distant Worlds
Dragonne,7,"3,200",,,,,,N,Large,magical beast,,,,,,,20,12,17,76,9d10+27,9,9,4,"bite +13 (1d8+5), 2 claws +13 (1d6+5)",,10,10,21,17,17,6,12,12,"Blind-Fight, Combat Reflexes, Flyby Attack, Improved Initiative, Power Attack","Fly +5, Perception +12",+4 Perception,Draconic,,temperate deserts,"solitary, pair, or pride (5-10)",standard,,,,0,0,"40 ft., fly 30 ft. (poor)",40,,poor,,,,,1,1,0,0,0,,,NULL,,2051,0,0,0,0,PFRPG Bestiary 3
Dragonnel,6,"2,400",,,,,,NE,Huge,magical beast,,,,,,,18,8,18,76,8d10+32,10,6,2,"bite +12 (2d6+6), 2 claws +12 (1d8+6)",,15,10 (15 with bite),22,11,18,4,11,8,"Cleave, Flyby Attack, Power Attack, Skill Focus (Fly), Snatch",Fly +6,,Common (cannot speak),,temperate hills,solitary or pack (2-4),none,,,,0,0,"40 ft., fly 100 ft. (poor)",40,,poor,,,,,1,1,0,0,0,,,NULL,,2540,0,0,0,0,Tome of Horrors Complete
Dragonship,10,"9,600",,,,,,N,Gargantuan,construct,,,,,,,23,3,23,170,20d10+60,6,3,6,"bite +25 (1d8+9), 4 slams +25 (2d6+9)",,20,15 (20 with bite),28,4,-,-,10,10,,Swim +17,,,"navigate, winds",any aquatic,solitary,none,,,,0,0,Swim 40 ft.,,,,,40,,,1,0,0,0,0,,,NULL,,2541,0,0,0,0,Tome of Horrors Complete
Drakainia,25,"1,638,400",,,,,,NE,Huge,aberration,mythic,,,,,,48,13,43,642,25d8+530,28,15,21,"2 claws +31 (4d8+14/16-20/x4), gore +28 (4d6+7), 4 tentacles +29 (2d6+7)",,15,15 (20 with claws),38,20,46,29,21,41,"Combat Casting, Combat ReflexesM, Great FortitudeM, Improved Initiative, Iron WillM, Lightning ReflexesM, Multiattack, Quick Channel, Quicken Spell-Like Ability (cure serious wounds), Selective Channeling, Skill Focus (Perception), Weapon FocusM (claw), Weapon Focus (tentacle)","Bluff +40, Climb +45, Diplomacy +40, Handle Animal +20, Heal +30, Intimidate +43, Knowledge (arcana) +34, Knowledge (dungeoneering) +34, Knowledge (nature) +34, Perception +39, Sense Motive +30, Spellcraft +37, Swim +50, Use Magic Device +40",,"Abyssal, Aklo, Aquan, Auran, Celestial, Common, Draconic, Ignan, Infernal, Terran","birth spawn, invert birth, polymorphism, transfer suffering",any,solitary,double,,,,0,0,"50 ft., climb 30 ft., swim 30 ft.",50,,,,30,,,1,0,1,0,1,,,NULL,,5197,0,10,1,0,PFRPG Bestiary 4
Draug,4,"1,200",,,,,,CE,Medium,undead,water,,,,,,17,12,15,38,5d8+10,5,3,6,cutlass +6 (1d6+2/19-20) or 2 claws +5 (1d4+2),,5,5,14,15,-,12,14,14,"Alertness, Great Fortitude, Weapon Focus (cutlass)","Acrobatics +5, Climb +8, Escape Artist +5, Perception +10, Profession (sailor) +6, Sense Motive +4, Stealth +8, Survival +5, Swim +17",+4 Swim,,control ship,any,"solitary or crew (1 draug plus 6-11 brine zombies and 1-4 mummies of the deep, 2-8 lacedons, or 2-8 skeletons)",standard,,rusty cutlass,,0,0,"30 ft., swim 30 ft.",30,,,,,,,1,0,0,0,1,,,NULL,,2547,0,0,0,0,Tome of Horrors Complete
Draugr,2,600,,,,,,CE,Medium,undead,water,,,,,,14,10,14,19,3d8+6,2,1,3,greataxe +5 (1d12+4/x3 plus nausea) or slam +5 (1d10+4 plus nausea),,5,5,17,10,-,8,10,13,"Power Attack, Toughness","Climb +9, Perception +6, Stealth +6, Swim +11",,Common (cannot speak),,any coastal,solitary or crew (2-8),"standard (greataxe, leather armor, other treasure)",,,,0,0,"30 ft., swim 30 ft.",30,,,,30,,,1,0,0,0,1,,,NULL,,1191,0,0,0,0,PFRPG Bestiary 2
Dread Wraith,13,"25,600",,,,,,LE,Large,undead,incorporeal,,,,,,26,26,16,184,16d8+112,12,14,15,incorporeal touch +20 (3d6 negative energy plus 1d8 Con drain [Fort DC 23]),,10,10,-,28,-,14,20,25,"Alertness, Blind-Fight, Combat Reflexes, Dodge, Improved Initiative, Improved Natural Attack (incorporeal touch), Mobility, Spring Attack","Diplomacy +18, Fly +24, Intimidate +26, Knowledge (planes) +13, Perception +28, Sense Motive +28, Stealth +24",,"Common, Infernal, Skald",,any,"solitary, pair, gang (3-6), or pack (7-12)",none,Wraith,,,0,0,fly 60 ft. (good),,60,,,,,,0,1,0,0,0,Wraith,,NULL,,3850,0,0,0,0,d20pfsrd
Dreadweed,8,"4,800",,,,,,CE,Medium,plant,,,,,,,22,14,18,76,8d8+40,11,5,4,bite +10 (1d8+4 plus poison),4 vines +10 (1d6+4 plus 1d4 negative energy plus pull),5,5 (20 with vine),18,17,21,4,14,15,"Combat Reflexes, Dodge, Improved Initiative, Weapon Focus (vine)","Perception +9, Stealth +10",,,,any temperate or warm land,solitary or cluster (2-8),incidental,,,,0,0,30 ft.,30,,,,,,,1,0,0,0,0,NULL,,NULL,,4809,0,0,0,0,Tome of Horrors 4
Dream Spectre,9,"6,400",,,,,,NE,Medium,outsider,evil,extraplanar,incorporeal,,,,19,19,13,67,9d10+18,5,10,9,incorporeal touch +13 (1d4 plus 1d4 Charisma),,5,5,-,18,15,15,16,18,"Alertness, Blind-Fight, Dodge, Combat Reflexes, Improved Initiative","Bluff +15, Diplomacy +12, Fly +16, Intimidate +16, Knowledge (any one) +13, Knowledge (planes) +10, Perception +17, Sense Motive +17, Stealth +16, Survival +15",,"Common, Dreamspeak",,any,solitary,none,,,,0,0,fly 60 ft. (perfect),,60,,,,,,0,1,0,0,0,,,NULL,,2548,0,0,0,0,Tome of Horrors Complete
Drekavac,3,800,,,,,,NE,Small,undead,,,,,,,15,12,14,30,4d8+12,4,2,7,chilling grasp +5 touch (1d6 cold plus disease) or shadow +5 touch (disease),,5,5,10,12,-,9,12,17,"Iron Will, Weapon Finesse","Intimidate +10, Perception +8, Stealth +12",,Common,,any,solitary or pack (2-5),none,,,,0,0,20 ft.,20,,,,,,,0,0,0,0,0,,,NULL,,524,0,0,0,0,AP 31
Drelb,5,"1,600",,,,,,NE,Medium,outsider,extraplanar,incorporeal,psionic,,,,15,15,12,50,6d10+12,6,8,7,incorporeal touch +9 (1d4 plus nether chill),,5,5,-,16,14,12,14,15,"Ability Focus (nether chill), Great Fortitude, Improved Initiative","Bluff +11, Intimidate +11, Knowledge (the planes) +10, Perception +11, Sense Motive +11, Stealth +12, Survival +11",,"Common, Daemonic",psionic adaptation,any,solitary,standard,,,,0,0,"20 ft., fly 20 ft. (good)",20,,good,,,,,1,1,0,0,0,,,NULL,,2549,0,0,0,0,Tome of Horrors Complete
Dretch,2,600,,,,,,CE,Small,outsider,chaotic,demon,evil,extraplanar,,,14,11,14,18,2d10+7,5,0,3,"2 claws +4 (1d4+1), bite +4 (1d4+1)",,5,5,12,10,14,5,11,11,Toughness,"Escape Artist +5, Perception +5, Stealth +9",,Abyssal (cannot speak); telepathy 100 ft. (limited to Abyssal-speaking targets),,any (Abyss),"solitary, pair, gang (3-5), crowd (6-12), or mob (13+)",none,Demon,,,0,0,20 ft.,20,,,,,,,1,0,0,0,0,,,NULL,,77,0,0,0,0,PFRPG Bestiary
Dretch Megaswarm,12,"19,200",,,,,,CE,Small,outsider,chaotic,demon,evil,extraplanar,megaswarm,,15,12,13,136,16d10+32 plus 16,14,7,12,swarm (6d6),,10,0,12,10,14,5,11,11,"DodgeB, Endurance, Great Fortitude, Improved Initiative, Iron Will, Lightning Reflexes, Skill Focus (Perception), Stealthy, Toughness","Escape Artist +20, Perception +25, Stealth +23",,Abyssal (cannot speak); telepathy 100 ft. (limited to Abyssal-speaking targets),,any (Abyss),"solitary, pack (2-4 megaswarms), infestation (7-12 megaswarms)",none,Megaswarm,,,0,0,20 ft.,20,,,,,,,1,0,0,0,0,NULL,,NULL,,5007,0,0,0,0,Tome of Horrors 4
Drider,7,"3,200",,,,,,CE,Large,aberration,,,,,,,20,12,17,76,9d8+36,7,5,9,"mwk heavy mace +9/+4 (1d8+3), bite +3 (1d4+1 plus poison)",mwk composite longbow +8/+3 (1d8+2/x3),10,5,15,15,18,15,16,16,"Blind-Fight, Dodge, Combat Casting, Weapon Focus (bite, mace)","Climb +22, Intimidate +15, Knowledge (arcana) +14, Perception +15, Spellcraft +14, Stealth +14",+4 Stealth,"Common, Elven, Undercommon",undersized weapons,any underground,"solitary, pair, or group (3-8)","double (masterwork heavy mace, masterwork composite longbow [+2 Str] with 20 arrows, additional treasure)",,,,0,0,"30 ft., climb 20 ft.",30,,,20,,,,1,0,1,0,0,,,NULL,,144,0,0,0,0,PFRPG Bestiary
Drocha Swarm,7,"3,200",,,,,,CE,Tiny,undead,incorporeal,swarm,,,,,20,20,16,76,9d8+36,7,7,8,swarm (4d6 plus blood drain),,10,0,-,18,-,-,15,19,,Fly +16,,,,any,solitary or pack (2-5),none,,,,0,0,"0 ft., fly 30 ft. (perfect)",0,,perfect,,,,,1,1,0,0,0,,,NULL,,5126,0,0,0,0,AP 75
Dromosphinx,8,"4,800",,,,,,NE,Large,magical beast,,,,,,,19,9,19,93,11d10+33,10,7,5,"2 claws +17 (1d6+7), bite +17 (1d8+7/19-20 plus 1d6 acid)",,10,5,25,10,17,14,14,14,"Alertness, Flyby Attack, Hover, Improved Critical (bite), Power Attack, Skill Focus (Intimidate)","Bluff +13, Fly +2, Intimidate +19, Knowledge (any one) +8, Perception +20, Sense Motive +4",,"Common, Sphinx",,warm deserts and hills,"solitary, pair, or flock (3-6)",standard,Sphinx,,,0,0,"30 ft., fly 60 ft. (poor)",30,,poor,,,,,1,1,0,0,0,NULL,,NULL,,5066,0,0,0,0,Tome of Horrors 4
Drow,0.33,135,Drow,warrior,1,,,CE,Medium,humanoid,elf ,,,,,,15,12,13,5,1d10,2,2,-1,rapier +2 (1d6/18-20),hand crossbow +3 (1d4/19-20 plus poison),5,5,11,15,10,10,9,10,Weapon Finesse,"Perception +2, Stealth +2",+2 Perception,"Elven, Undercommon",poison use,underground,"pair, squad (3-4), patrol (5-8), or war party (10-40)","NPC Gear (leather armor, light steel shield, rapier, hand crossbow with 20 bolts, drow poison [2 doses], 3d6 gp, other treasure)",,,,1,0,30 ft.,30,,,,,,,1,0,0,0,0,,,NULL,,147,0,0,0,0,PFRPG Bestiary
Drow Noble,3,800,Female drow noble,cleric,3,,,CE,Medium,humanoid,elf ,,,,,,21,13,18,16,3d8+3,4,4,6,mwk rapier +4 (1d6+1/18-20),hand crossbow +5 (1d4/19-20 plus poison),5,5,12,17,12,10,17,12,"Channel Smite, Weapon Finesse","Knowledge (religion) +6, Sense Motive +9, Spellcraft +6",+2 Perception,"Elven, Undercommon",poison use,underground,,"NPC Gear (masterwork breastplate, heavy steel shield, masterwork rapier, drow poison (4), potion of invisibility, scroll of dispel magic, wand of cure light wounds (CL 1st, 20 charges), 400 gp, other treasure)",Drow,,,1,0,20 ft.,20,,,,,,,1,0,0,0,0,,,NULL,,146,0,0,0,0,PFRPG Bestiary
Drowning Devil,8,"4,800",,,,,,LE,Large,outsider,devil,evil,extraplanar,lawful,,,21,17,13,103,9d10+54,12,10,11,"bite +15 (2d6+5), 2 slams +15 (1d8+5 plus poison)",,10,10,20,25,23,16,20,19,"Agile Maneuvers, Combat Reflexes, Dodge, Weapon Finesse, Wind Stance","Bluff +16, Diplomacy +16, Fly +5, Intimidate +16, Knowledge (nature) +15, Knowledge (planes) +15, Perception +17, Sense Motive +17, Stealth +15, Swim +25",,"Celestial, Common, Draconic, Infernal; telepathy 100 ft.",,any (Hell),"solitary, pair, or guard (3-10)",standard,Devil,,,0,0,"30 ft., fly 30 ft. (average), swim 40 ft.",30,,,,,,,1,1,0,0,1,,,NULL,Sarglagon,5171,0,0,0,0,PFRPG Bestiary 4
Dryad,3,800,,,,,,CG,Medium,fey,,,,,,,17,14,13,27,6d6+6,5,9,7,dagger +7 (1d4),masterwork longbow +8 (1d8),5,5,10,19,13,14,15,18,"Great Fortitude, Stealthy, Weapon Finesse","Climb +9, Craft (sculpture) +11, Escape Artist +15, Handle Animal +10, Knowledge (nature) +11, Perception +11, Stealth +15, Survival +8",+6 Craft (wood),"Common, Elven, Sylvan; speak with plants","tree meld, wild empathy, woodcraft",temperate forests,"solitary, pair, or grove (3-8)","standard (dagger, masterwork longbow with 20 arrows, other treasure)",,,,0,0,30 ft.,30,,,,,,,1,0,0,0,0,,,NULL,,148,0,0,0,0,PFRPG Bestiary
Duergar,0.33,135,Duergar,warrior,1,,,LE,Medium,humanoid,dwarf ,,,,,,17,9,17,8,1d10+2,4,-1,1,warhammer +3 (1d8+1/x3),light crossbow +0 (1d8/19-20),5,5,12,9,15,10,13,4,Weapon Focus (warhammer),"Intimidate +1, Stealth -3","+2 Perception relating to stonework, +4 Stealth","Common, Dwarven, Undercommon","slow and steady, stability",any underground,"solitary, team (2-5), squad (6-12 plus 3 sergeants of 3rd level and 1 leader of 3rd-8th level), or clan (13-80 plus 25% noncombatant children plus 1 sergeant of 3rd level per 5 adults, 3-6 lieutenants of 3rd-6th level, and 1-4 captains of 9th level)","NPC Gear (chainmail, heavy steel shield, warhammer, light crossbow [20 bolts], 3d6 gp, other treasure)",,,,1,0,20 ft.,20,,,,,,,1,0,0,0,0,,,NULL,,149,0,0,0,0,PFRPG Bestiary
Dullahan,7,"3,200",,,,,,LE,Medium,undead,,,,,,,21,11,20,85,10d8+40,7,5,12,+1 keen longsword +14/+9 (1d8+6/17-20 plus 1d6 cold),,5,5,20,14,-,14,16,18,"Iron Will, Mounted Combat, Ride-By Attack, Trample, Weapon Focus (longsword)","Handle Animal +14, Intimidate +17, Perception +16, Ride +7, Spellcraft +15, Stealth +10",,"Common, Sylvan",,any,solitary,"double (+1 full plate, +1 longsword, other treasure)",,,,0,0,30 ft. (20 ft. in armor),30/20,,,,,,,1,0,0,0,0,,,NULL,,1192,0,0,0,0,PFRPG Bestiary 2
Dun Pudding,7,"3,200",,,,,,N,Huge,ooze,,,,,,,3,3,3,87,10d8+50,8,-2,-2,slam +8 (2d6+4 plus 2d6 acid plus grab),,15,10,17,1,21,-,1,1,,Climb +11,+8 Climb,,,any warm land and underground,solitary,none,Pudding,,,0,0,"20 ft., climb 20 ft.",20,,,,,,,1,0,1,0,0,,,NULL,,2939,0,0,0,0,Tome of Horrors Complete
Dune Horror,13,"25,600",,,,,,N,Huge,magical beast,,,,,,,24,8,24,168,16d10+80,17,10,7,"2 claws +25 (1d8+10 plus grab), bite +25 (2d6+10/19- 20 plus poison), sting +25 (1d8+10 plus poison)",,15,15,31,10,21,2,14,10,"Awesome Blow, Great Fortitude, Improved Bull Rush, Improved Critical (bite), Improved Initiative, Power Attack, Weapon Focus (bite), Weapon Focus (sting), Weapon Focus (claw)B","Climb +14, Perception +21, Stealth +11","+4 Climb, +8 Perception, +8 Stealth",,,warm deserts,solitary,incidental,,,,0,0,"40 ft., burrow 30 ft.",40,,,,,,,1,0,0,1,0,NULL,,NULL,,4810,0,0,0,0,Tome of Horrors 4
Dunkleosteus,6,"2,400",,,,,,N,Huge,animal,aquatic,,,,,,19,10,17,75,10d8+30,10,9,4,bite +16 (3d8+15/19-20 plus grab),,15,15,30,14,17,1,12,6,"Improved Critical (bite), Improved Initiative, Skill Focus (Perception), Skill Focus (Swim), Weapon Focus (bite)","Perception +15, Swim +30",+4 Perception,,,any ocean,solitary,none,Fish,,,0,0,swim 60 ft.,,,,,60,,,0,0,0,0,1,,,NULL,,2875,0,0,0,0,AP 56
Duppy,7,"3,200",,,,,,CE,Medium,undead,incorporeal,,,,,,20,20,14,76,9d8+36,7,11,8,incorporeal touch +12 (2d8 negative energy plus 1d6 Str drain),,5,5,-,22,-,13,15,19,"Flyby Attack, Improved Initiative, Lightning Reflexes, Lunge, Step Up","Fly +26, Intimidate +16, Perception +14, Sense Motive +14, Stealth +18",,"Common, Polyglot",,warm coastal regions,"solitary, pair, or pack (3-8)",none,,,,0,0,fly 40 ft. (perfect),,40,,,,,,0,1,0,0,0,,,NULL,,2732,0,0,0,0,Isles Of The Shackles
Dust Digger,4,"1,200",,,,,,N,Large,aberration,,,,,,,16,9,16,42,5d8+20,5,1,4,"bite +5 (1d8+3 plus grab), 5 tentacles +3 (1d4+1 plus grab)",,10,10,17,11,18,2,11,10,"Improved Initiative, Multiattack, Skill Focus (Stealth)","Perception +5, Stealth +5 (+13 in ambush)",+8 Stealth in ambush,,,warm deserts,"solitary, pair, or colony (3-10)",none,,,,0,0,"10 ft., burrow 20 ft.",10,,,,,20,,1,0,0,1,0,,,NULL,,1193,0,0,0,0,PFRPG Bestiary 2
